lambda,dlambda,enthalpy
9.970222e-01,-1.325404e-05,-3.189525e+01
9.970089e-01,-1.325369e-05,-3.189527e+01
9.969957e-01,-1.325334e-05,-3.189529e+01
9.969824e-01,-1.325299e-05,-3.189531e+01
9.969692e-01,-1.325263e-05,-3.189533e+01
9.969559e-01,-1.325228e-05,-3.189535e+01
9.969427e-01,-1.325193e-05,-3.189537e+01
9.969294e-01,-1.325158e-05,-3.189539e+01
9.969162e-01,-1.325122e-05,-3.189540e+01
9.969029e-01,-1.325087e-05,-3.189542e+01
9.968897e-01,-1.325052e-05,-3.189543e+01
9.968764e-01,-1.325017e-05,-3.189544e+01
9.968632e-01,-1.324982e-05,-3.189545e+01
9.968499e-01,-1.324946e-05,-3.189546e+01
9.968367e-01,-1.324911e-05,-3.189547e+01
9.968234e-01,-1.324876e-05,-3.189548e+01
9.968102e-01,-1.324841e-05,-3.189548e+01
9.967969e-01,-1.324805e-05,-3.189549e+01
9.967837e-01,-1.324770e-05,-3.189549e+01
9.967704e-01,-1.324735e-05,-3.189549e+01
9.967572e-01,-1.324700e-05,-3.189549e+01
9.967439e-01,-1.324665e-05,-3.189548e+01
9.967307e-01,-1.324629e-05,-3.189548e+01
9.967174e-01,-1.324594e-05,-3.189547e+01
9.967042e-01,-1.324559e-05,-3.189547e+01
9.966910e-01,-1.324524e-05,-3.189546e+01
9.966777e-01,-1.324489e-05,-3.189545e+01
9.966645e-01,-1.324453e-05,-3.189543e+01
9.966512e-01,-1.324418e-05,-3.189542e+01
9.966380e-01,-1.324383e-05,-3.189541e+01
9.966247e-01,-1.324348e-05,-3.189539e+01
9.966115e-01,-1.324313e-05,-3.189537e+01
9.965982e-01,-1.324277e-05,-3.189535e+01
9.965850e-01,-1.324242e-05,-3.189533e+01
9.965718e-01,-1.324207e-05,-3.189531e+01
9.965585e-01,-1.324172e-05,-3.189529e+01
9.965453e-01,-1.324137e-05,-3.189527e+01
9.965320e-01,-1.324101e-05,-3.189525e+01
9.965188e-01,-1.324066e-05,-3.189523e+01
9.965056e-01,-1.324031e-05,-3.189520e+01
9.964923e-01,-1.323996e-05,-3.189518e+01
9.964791e-01,-1.323961e-05,-3.189516e+01
9.964658e-01,-1.323926e-05,-3.189513e+01
9.964526e-01,-1.323890e-05,-3.189511e+01
9.964394e-01,-1.323855e-05,-3.189509e+01
9.964261e-01,-1.323820e-05,-3.189506e+01
9.964129e-01,-1.323785e-05,-3.189504e+01
9.963996e-01,-1.323750e-05,-3.189501e+01
9.963864e-01,-1.323714e-05,-3.189499e+01
9.963732e-01,-1.323679e-05,-3.189497e+01
9.963599e-01,-1.323644e-05,-3.189495e+01
9.963467e-01,-1.323609e-05,-3.189492e+01
9.963335e-01,-1.323574e-05,-3.189490e+01
9.963202e-01,-1.323539e-05,-3.189488e+01
9.963070e-01,-1.323503e-05,-3.189486e+01
9.962938e-01,-1.323468e-05,-3.189484e+01
9.962805e-01,-1.323433e-05,-3.189482e+01
9.962673e-01,-1.323398e-05,-3.189481e+01
9.962540e-01,-1.323363e-05,-3.189479e+01
9.962408e-01,-1.323328e-05,-3.189477e+01
9.962276e-01,-1.323293e-05,-3.189476e+01
9.962143e-01,-1.323257e-05,-3.189474e+01
9.962011e-01,-1.323222e-05,-3.189473e+01
9.961879e-01,-1.323187e-05,-3.189472e+01
9.961747e-01,-1.323152e-05,-3.189471e+01
9.961614e-01,-1.323117e-05,-3.189470e+01
9.961482e-01,-1.323082e-05,-3.189469e+01
9.961350e-01,-1.323046e-05,-3.189468e+01
9.961217e-01,-1.323011e-05,-3.189468e+01
9.961085e-01,-1.322976e-05,-3.189467e+01
9.960953e-01,-1.322941e-05,-3.189467e+01
9.960820e-01,-1.322906e-05,-3.189467e+01
9.960688e-01,-1.322871e-05,-3.189467e+01
9.960556e-01,-1.322836e-05,-3.189467e+01
9.960424e-01,-1.322800e-05,-3.189467e+01
9.960291e-01,-1.322765e-05,-3.189468e+01
9.960159e-01,-1.322730e-05,-3.189468e+01
9.960027e-01,-1.322695e-05,-3.189469e+01
9.959894e-01,-1.322660e-05,-3.189470e+01
9.959762e-01,-1.322625e-05,-3.189471e+01
9.959630e-01,-1.322590e-05,-3.189472e+01
9.959498e-01,-1.322555e-05,-3.189473e+01
9.959365e-01,-1.322519e-05,-3.189475e+01
9.959233e-01,-1.322484e-05,-3.189477e+01
9.959101e-01,-1.322449e-05,-3.189478e+01
9.958969e-01,-1.322414e-05,-3.189480e+01
9.958836e-01,-1.322379e-05,-3.189482e+01
9.958704e-01,-1.322344e-05,-3.189484e+01
9.958572e-01,-1.322309e-05,-3.189487e+01
9.958440e-01,-1.322274e-05,-3.189489e+01
9.958307e-01,-1.322239e-05,-3.189491e+01
9.958175e-01,-1.322203e-05,-3.189494e+01
9.958043e-01,-1.322168e-05,-3.189496e+01
9.957911e-01,-1.322133e-05,-3.189499e+01
9.957779e-01,-1.322098e-05,-3.189502e+01
9.957646e-01,-1.322063e-05,-3.189504e+01
9.957514e-01,-1.322028e-05,-3.189507e+01
9.957382e-01,-1.321993e-05,-3.189510e+01
9.957250e-01,-1.321958e-05,-3.189513e+01
9.957118e-01,-1.321923e-05,-3.189515e+01
9.956985e-01,-1.321887e-05,-3.189518e+01
9.956853e-01,-1.321852e-05,-3.189520e+01
9.956721e-01,-1.321817e-05,-3.189523e+01
9.956589e-01,-1.321782e-05,-3.189525e+01
9.956457e-01,-1.321747e-05,-3.189527e+01
9.956324e-01,-1.321712e-05,-3.189530e+01
9.956192e-01,-1.321677e-05,-3.189531e+01
9.956060e-01,-1.321642e-05,-3.189533e+01
9.955928e-01,-1.321607e-05,-3.189535e+01
9.955796e-01,-1.321572e-05,-3.189536e+01
9.955664e-01,-1.321537e-05,-3.189538e+01
9.955532e-01,-1.321501e-05,-3.189539e+01
9.955399e-01,-1.321466e-05,-3.189540e+01
9.955267e-01,-1.321431e-05,-3.189540e+01
9.955135e-01,-1.321396e-05,-3.189541e+01
9.955003e-01,-1.321361e-05,-3.189541e+01
9.954871e-01,-1.321326e-05,-3.189541e+01
9.954739e-01,-1.321291e-05,-3.189541e+01
9.954607e-01,-1.321256e-05,-3.189540e+01
9.954474e-01,-1.321221e-05,-3.189540e+01
9.954342e-01,-1.321186e-05,-3.189539e+01
9.954210e-01,-1.321151e-05,-3.189538e+01
9.954078e-01,-1.321116e-05,-3.189537e+01
9.953946e-01,-1.321081e-05,-3.189536e+01
9.953814e-01,-1.321045e-05,-3.189534e+01
9.953682e-01,-1.321010e-05,-3.189533e+01
9.953550e-01,-1.320975e-05,-3.189531e+01
9.953418e-01,-1.320940e-05,-3.189530e+01
9.953285e-01,-1.320905e-05,-3.189528e+01
9.953153e-01,-1.320870e-05,-3.189526e+01
9.953021e-01,-1.320835e-05,-3.189525e+01
9.952889e-01,-1.320800e-05,-3.189523e+01
9.952757e-01,-1.320765e-05,-3.189521e+01
9.952625e-01,-1.320730e-05,-3.189520e+01
9.952493e-01,-1.320695e-05,-3.189518e+01
9.952361e-01,-1.320660e-05,-3.189517e+01
9.952229e-01,-1.320625e-05,-3.189516e+01
9.952097e-01,-1.320590e-05,-3.189514e+01
9.951965e-01,-1.320555e-05,-3.189513e+01
9.951833e-01,-1.320520e-05,-3.189513e+01
