lambda,dlambda,pe,espring
2.115360e-12,6.002485e-14,-3.189732e+01,3.815422e-02
2.176070e-12,6.139826e-14,-3.189734e+01,3.814927e-02
2.238164e-12,6.279508e-14,-3.189736e+01,3.815037e-02
2.301668e-12,6.421557e-14,-3.189738e+01,3.815755e-02
2.366604e-12,6.565999e-14,-3.189739e+01,3.816439e-02
2.432996e-12,6.712862e-14,-3.189741e+01,3.817267e-02
2.500869e-12,6.862171e-14,-3.189742e+01,3.818041e-02
2.570248e-12,7.013955e-14,-3.189744e+01,3.818873e-02
2.641156e-12,7.168239e-14,-3.189745e+01,3.819718e-02
2.713621e-12,7.325052e-14,-3.189746e+01,3.820886e-02
2.787666e-12,7.484420e-14,-3.189747e+01,3.822185e-02
2.863318e-12,7.646372e-14,-3.189748e+01,3.823705e-02
2.940602e-12,7.810934e-14,-3.189748e+01,3.824949e-02
3.019545e-12,7.978135e-14,-3.189750e+01,3.826246e-02
3.100174e-12,8.148003e-14,-3.189752e+01,3.827390e-02
3.182514e-12,8.320565e-14,-3.189753e+01,3.828570e-02
3.266594e-12,8.495851e-14,-3.189755e+01,3.829623e-02
3.352440e-12,8.673888e-14,-3.189757e+01,3.830761e-02
3.440081e-12,8.854704e-14,-3.189758e+01,3.831998e-02
3.529544e-12,9.038330e-14,-3.189759e+01,3.833501e-02
3.620857e-12,9.224793e-14,-3.189760e+01,3.834680e-02
3.714049e-12,9.414122e-14,-3.189760e+01,3.835541e-02
3.809149e-12,9.606347e-14,-3.189761e+01,3.836406e-02
3.906186e-12,9.801497e-14,-3.189761e+01,3.837245e-02
4.005189e-12,9.999602e-14,-3.189761e+01,3.837965e-02
4.106188e-12,1.020069e-13,-3.189761e+01,3.839128e-02
4.209213e-12,1.040479e-13,-3.189760e+01,3.840446e-02
4.314294e-12,1.061194e-13,-3.189759e+01,3.842135e-02
4.421462e-12,1.082216e-13,-3.189758e+01,3.843928e-02
4.530747e-12,1.103548e-13,-3.189756e+01,3.845631e-02
4.642182e-12,1.125193e-13,-3.189753e+01,3.847648e-02
4.755797e-12,1.147155e-13,-3.189751e+01,3.849848e-02
4.871624e-12,1.169437e-13,-3.189748e+01,3.852136e-02
4.989695e-12,1.192041e-13,-3.189745e+01,3.854693e-02
5.110043e-12,1.214971e-13,-3.189742e+01,3.857233e-02
5.232700e-12,1.238229e-13,-3.189740e+01,3.859518e-02
5.357700e-12,1.261820e-13,-3.189736e+01,3.862228e-02
5.485075e-12,1.285745e-13,-3.189733e+01,3.865431e-02
5.614860e-12,1.310008e-13,-3.189729e+01,3.868601e-02
