lambda,dlambda,pe,espring
1.158067e-12,3.707890e-14,-3.187055e+01,4.604988e-02
1.195624e-12,3.803730e-14,-3.187053e+01,4.604010e-02
1.234148e-12,3.901414e-14,-3.187051e+01,4.602983e-02
1.273659e-12,4.000965e-14,-3.187049e+01,4.601906e-02
1.314174e-12,4.102407e-14,-3.187047e+01,4.600710e-02
1.355713e-12,4.205764e-14,-3.187045e+01,4.599507e-02
1.398296e-12,4.311060e-14,-3.187042e+01,4.598178e-02
1.441941e-12,4.418319e-14,-3.187039e+01,4.597016e-02
1.486669e-12,4.527564e-14,-3.187036e+01,4.596273e-02
1.532499e-12,4.638821e-14,-3.187033e+01,4.595509e-02
1.579452e-12,4.752113e-14,-3.187030e+01,4.594774e-02
1.627548e-12,4.867466e-14,-3.187027e+01,4.593887e-02
1.676808e-12,4.984904e-14,-3.187025e+01,4.593436e-02
1.727253e-12,5.104451e-14,-3.187023e+01,4.592925e-02
1.778904e-12,5.226134e-14,-3.187021e+01,4.592451e-02
1.831783e-12,5.349976e-14,-3.187019e+01,4.591866e-02
1.885911e-12,5.476005e-14,-3.187018e+01,4.591211e-02
1.941310e-12,5.604244e-14,-3.187016e+01,4.590320e-02
1.998003e-12,5.734720e-14,-3.187015e+01,4.589393e-02
2.056012e-12,5.867458e-14,-3.187014e+01,4.588463e-02
2.115360e-12,6.002485e-14,-3.187013e+01,4.587593e-02
2.176070e-12,6.139826e-14,-3.187012e+01,4.586817e-02
2.238164e-12,6.279508e-14,-3.187011e+01,4.586255e-02
2.301668e-12,6.421557e-14,-3.187010e+01,4.585561e-02
2.366604e-12,6.565999e-14,-3.187009e+01,4.585074e-02
2.432996e-12,6.712862e-14,-3.187009e+01,4.584567e-02
2.500869e-12,6.862171e-14,-3.187009e+01,4.584233e-02
2.570248e-12,7.013955e-14,-3.187009e+01,4.584102e-02
2.641156e-12,7.168239e-14,-3.187009e+01,4.584171e-02
2.713621e-12,7.325052e-14,-3.187009e+01,4.584428e-02
2.787666e-12,7.484420e-14,-3.187009e+01,4.584786e-02
2.863318e-12,7.646372e-14,-3.187010e+01,4.585012e-02
2.940602e-12,7.810934e-14,-3.187010e+01,4.585058e-02
3.019545e-12,7.978135e-14,-3.187012e+01,4.585140e-02
3.100174e-12,8.148003e-14,-3.187014e+01,4.584830e-02
3.182514e-12,8.320565e-14,-3.187016e+01,4.584482e-02
3.266594e-12,8.495851e-14,-3.187018e+01,4.583928e-02
3.352440e-12,8.673888e-14,-3.187020e+01,4.583433e-02
3.440081e-12,8.854704e-14,-3.187022e+01,4.583008e-02
3.529544e-12,9.038330e-14,-3.187024e+01,4.582602e-02
3.620857e-12,9.224793e-14,-3.187026e+01,4.582089e-02
3.714049e-12,9.414122e-14,-3.187028e+01,4.581470e-02
3.809149e-12,9.606347e-14,-3.187030e+01,4.580835e-02
3.906186e-12,9.801497e-14,-3.187032e+01,4.580212e-02
4.005189e-12,9.999602e-14,-3.187034e+01,4.579661e-02
4.106188e-12,1.020069e-13,-3.187036e+01,4.579116e-02
4.209213e-12,1.040479e-13,-3.187038e+01,4.578395e-02
4.314294e-12,1.061194e-13,-3.187039e+01,4.577665e-02
4.421462e-12,1.082216e-13,-3.187040e+01,4.576701e-02
4.530747e-12,1.103548e-13,-3.187041e+01,4.575694e-02
4.642182e-12,1.125193e-13,-3.187042e+01,4.574691e-02
4.755797e-12,1.147155e-13,-3.187043e+01,4.573705e-02
4.871624e-12,1.169437e-13,-3.187043e+01,4.572880e-02
4.989695e-12,1.192041e-13,-3.187044e+01,4.572119e-02
5.110043e-12,1.214971e-13,-3.187043e+01,4.571339e-02
5.232700e-12,1.238229e-13,-3.187043e+01,4.570472e-02
5.357700e-12,1.261820e-13,-3.187042e+01,4.569800e-02
5.485075e-12,1.285745e-13,-3.187040e+01,4.569051e-02
5.614860e-12,1.310008e-13,-3.187039e+01,4.568374e-02
5.747088e-12,1.334613e-13,-3.187036e+01,4.567635e-02
5.881794e-12,1.359563e-13,-3.187034e+01,4.566973e-02
6.019012e-12,1.384859e-13,-3.187031e+01,4.566386e-02
6.158778e-12,1.410507e-13,-3.187029e+01,4.565636e-02
6.301125e-12,1.436509e-13,-3.187027e+01,4.564757e-02
6.446091e-12,1.462868e-13,-3.187024e+01,4.563711e-02
6.593711e-12,1.489588e-13,-3.187022e+01,4.562575e-02
6.744021e-12,1.516672e-13,-3.187019e+01,4.561397e-02
6.897058e-12,1.544123e-13,-3.187015e+01,4.560656e-02
7.052858e-12,1.571944e-13,-3.187012e+01,4.559868e-02
7.211459e-12,1.600138e-13,-3.187008e+01,4.559160e-02
7.372898e-12,1.628710e-13,-3.187005e+01,4.558744e-02
7.537214e-12,1.657662e-13,-3.187002e+01,4.558565e-02
7.704443e-12,1.686998e-13,-3.186999e+01,4.558486e-02
7.874626e-12,1.716721e-13,-3.186995e+01,4.558621e-02
8.047801e-12,1.746835e-13,-3.186992e+01,4.558729e-02
8.224006e-12,1.777342e-13,-3.186990e+01,4.558890e-02
8.403282e-12,1.808246e-13,-3.186988e+01,4.559079e-02
8.585669e-12,1.839551e-13,-3.186986e+01,4.559330e-02
8.771206e-12,1.871260e-13,-3.186984e+01,4.559374e-02
8.959934e-12,1.903377e-13,-3.186983e+01,4.559359e-02
9.151895e-12,1.935905e-13,-3.186982e+01,4.559508e-02
9.347129e-12,1.968847e-13,-3.186981e+01,4.559751e-02
9.545678e-12,2.002207e-13,-3.186980e+01,4.560006e-02
9.747585e-12,2.035989e-13,-3.186981e+01,4.560358e-02
9.952890e-12,2.070195e-13,-3.186982e+01,4.560790e-02
1.016164e-11,2.104830e-13,-3.186984e+01,4.561104e-02
1.037387e-11,2.139897e-13,-3.186985e+01,4.561300e-02
1.058963e-11,2.175400e-13,-3.186987e+01,4.561339e-02
1.080897e-11,2.211342e-13,-3.186989e+01,4.561300e-02
